,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,Symbol,Name,Stock Sector,Industry Name,Market Cap (m),Dividend Yield (%),Last (Close),Unnamed: 7
10362,Market Cap.,364.88,294.00,299.25,283.50,240.45,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10363,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10364,P/E,7.24,13.94,9.29,26.43,32.97,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10365,P/BV,0.76,0.60,0.58,0.53,0.46,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10366,Book Value per share (Baht),45.64,47.04,49.46,50.59,50.27,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10367,Dvd. Yield(%),2.16,2.86,2.28,2.78,3.28,TCOAT,Thai Coating Industrial PCL,Consumer Cyclical,Packaging & Containers,283.5,2.78,27,THB
10368,Assets,,,722.60,859.00,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10369,Liabilities,,,104.72,208.97,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10370,Equity,,,617.48,649.61,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10371,Paid-up Capital,,,230.00,230.00,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10372,Revenue,,,781.26,992.29,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10373,Net Profit,,,89.07,79.24,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10374,EPS (Baht),,,0.25,0.17,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10375,ROA(%),,,17.60,12.69,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10376,ROE(%),,,21.55,12.51,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10377,Net Profit Margin(%),,,11.40,7.99,,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10378,Statistics as of,,,28/12/2018,30/12/2019,12/05/2020,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10379,Last Price(Baht),,,4.50,2.00,1.51,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10380,Market Cap.,,,2070.00,920.00,694.60,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10381,F/S Period (As of date),,,,30/09/2019,31/12/2019,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10382,P/E,,,20.04,12.41,8.46*,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10383,P/BV,,,-,1.48,1.07,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10384,Book Value per share (Baht),,,N.A.,1.36,1.41,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10385,Dvd. Yield(%),,,,5.00,11.92,TIGER,Thai Enger Holding PCL,Industrials,Engineering & Construction,892.4,5.15,1.94,THB
10386,Assets,2165.33,-,1741.51,1358.85,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10387,Liabilities,1517.23,-,1450.53,1256.30,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10388,Equity,648.10,-,290.98,102.55,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10389,Paid-up Capital,2047.50,-,2047.50,2047.50,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10390,Revenue,1940.30,1740.94,1609.56,961.73,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10391,Net Profit,-132.04,-264.03,-104.33,-185.06,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10392,EPS (Baht),-0.06,-0.13,-0.05,-0.09,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10393,ROA(%),-0.37,N.A.,-4.09,-6.86,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10394,ROE(%),-13.72,N.A.,-35.86,-94.05,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10395,Net Profit Margin(%),-6.81,-15.17,-6.48,-19.24,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10396,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10397,Last Price(Baht),1.16,0.58,0.24,0.07,0.04,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10398,Market Cap.,2375.10,1187.55,491.40,143.32,81.90,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10399,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10400,P/E,,,,,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10401,P/BV,3.30,2.38,1.48,0.80,0.80,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10402,Book Value per share (Baht),0.35,0.24,0.16,0.09,0.05,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10403,Dvd. Yield(%),,,,,,TFI,Thai Film Industries PCL,Consumer Cyclical,Packaging & Containers,184.275,-,0.09,THB
10404,Assets,15596.27,18893.71,22711.06,22786.59,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10405,Liabilities,9469.20,11522.57,14875.71,12900.76,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10406,Equity,6127.05,7370.82,7835.33,9885.80,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10407,Paid-up Capital,5100.00,5109.40,5113.31,5607.57,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10408,Revenue,20779.59,25913.12,28411.35,29109.69,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10409,Net Profit,1446.80,1516.04,645.46,1440.00,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10410,EPS (Baht),0.28,0.30,0.13,0.27,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10411,ROA(%),12.65,11.18,4.69,8.57,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10412,ROE(%),26.84,22.46,8.49,16.25,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10413,Net Profit Margin(%),6.96,5.85,2.27,4.95,,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10414,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10415,Last Price(Baht),7.05,5.70,3.04,4.20,4.10,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10416,Market Cap.,35955.00,29123.56,15544.45,23551.81,22991.05,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10417,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10418,P/E,34.78,19.65,21.74,17.84,15.97,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10419,P/BV,5.84,3.86,1.95,2.41,2.33,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10420,Book Value per share (Baht),1.21,1.48,1.56,1.74,1.76,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10421,Dvd. Yield(%),,,3.29,1.81,6.59,TFG,Thai Foods Group PCL,Consumer Defensive,Farm Products,24114.4,1.93,4.3,THB
10422,Assets,,,,90992.67,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10423,Liabilities,,,,75761.37,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10424,Equity,,,,15134.85,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10425,Paid-up Capital,,,,7520.98,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10426,Revenue,,,,19487.50,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10427,Net Profit,,,,304.92,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10428,EPS (Baht),,,,0.41,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10429,ROA(%),,,,0.42,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10430,ROE(%),,,,2.16,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10431,Net Profit Margin(%),,,,1.56,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10432,Statistics as of,,,,30/12/2019,12/05/2020,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10433,Last Price(Baht),,,,37.25,34.25,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10434,Market Cap.,,,,28015.64,25759.35,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10435,F/S Period (As of date),,,,30/09/2019,31/12/2019,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10436,P/E,,,,16.11,84.48,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10437,P/BV,,,,1.70,1.70,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10438,Book Value per share (Baht),,,,21.94,20.12,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10439,Dvd. Yield(%),,,,,,SEG,Thai Group Holdings PCL,Financial Services,Insurance - Diversified,28015.613,-,37.25,THB
10440,Assets,692.85,716.99,737.25,641.16,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10441,Liabilities,352.71,366.10,370.37,316.12,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10442,Equity,340.13,350.89,366.88,325.04,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10443,Paid-up Capital,278.00,278.00,278.00,278.00,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10444,Revenue,1303.02,1330.54,1184.49,873.93,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10445,Net Profit,-10.17,10.22,15.94,-31.06,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10446,EPS (Baht),-0.04,0.04,0.06,-0.11,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10447,ROA(%),-0.14,2.33,2.49,-3.80,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10448,ROE(%),-2.95,2.96,4.44,-8.98,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10449,Net Profit Margin(%),-0.78,0.77,1.35,-3.55,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10450,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10451,Last Price(Baht),2.82,2.32,1.82,1.21,1.36,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10452,Market Cap.,783.96,644.96,505.96,336.38,378.08,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10453,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10454,P/E,,117.88,25.82,,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10455,P/BV,2.30,1.86,1.38,0.98,1.16,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10456,Book Value per share (Baht),1.22,1.25,1.32,1.24,1.17,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10457,Dvd. Yield(%),,,,3.31,,KASET,Thai Ha PCL,Consumer Defensive,Packaged Foods,330.82,3.36,1.19,THB
10458,Assets,2797.68,2921.76,3126.03,3161.29,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10459,Liabilities,257.54,271.91,275.25,280.40,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10460,Equity,2337.07,2444.90,2644.97,2657.75,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10461,Paid-up Capital,150.00,150.00,150.00,150.00,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10462,Revenue,1973.90,2040.30,2065.83,2095.85,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10463,Net Profit,312.88,283.81,335.99,329.56,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10464,EPS (Baht),2.09,1.89,2.24,2.20,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10465,ROA(%),12.53,10.75,11.97,12.97,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10466,ROE(%),13.84,11.87,13.20,12.43,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10467,Net Profit Margin(%),15.85,13.91,16.26,15.72,,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10468,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10469,Last Price(Baht),21.30,20.40,21.00,25.50,22.60,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10470,Market Cap.,3195.00,3060.00,3150.00,3825.00,3390.00,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10471,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10472,P/E,10.05,11.12,9.73,11.46,10.29,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10473,P/BV,1.40,1.29,1.24,1.48,1.28,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10474,Book Value per share (Baht),15.20,15.79,16.87,17.27,17.72,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10475,Dvd. Yield(%),5.16,5.88,5.71,5.49,6.19,TMD,Thai Metal Drum Manufacturing PCL,Consumer Cyclical,Packaging & Containers,3787.5,8.91,25.25,THB
10476,Assets,2227.50,2531.11,3015.88,3095.72,3457.27,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10477,Liabilities,572.93,743.54,941.66,754.62,1021.40,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10478,Equity,1654.58,1787.57,2074.22,2341.10,2435.87,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10479,Paid-up Capital,199.50,199.50,199.50,199.50,199.50,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10480,Revenue,2193.32,2468.32,2967.69,3295.43,2293.75,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10481,Net Profit,137.90,174.88,333.95,370.61,206.49,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10482,EPS (Baht),3.46,4.38,8.37,9.29,5.18,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10483,ROA(%),7.10,9.15,14.91,14.16,10.10,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10484,ROE(%),8.60,10.16,17.30,16.79,11.87,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10485,Net Profit Margin(%),6.29,7.09,11.25,11.25,9.00,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10486,Statistics as of,30/12/2016,29/12/2017,28/12/2018,30/12/2019,12/05/2020,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10487,Last Price(Baht),30.25,57.00,65.75,38.25,33.25,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10488,Market Cap.,1206.98,2274.30,2623.42,1526.18,1326.68,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10489,F/S Period (As of date),30/09/2016,30/09/2017,30/09/2018,30/09/2019,31/12/2019,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10490,P/E,7.63,8.82,6.96,5.31,4.75,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10491,P/BV,0.72,1.20,1.21,0.65,0.54,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10492,Book Value per share (Baht),42.17,47.31,54.34,58.70,61.05,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10493,Dvd. Yield(%),3.47,2.32,3.88,7.32,8.42,TMW,Thai Mitsuwa PCL,Basic Materials,Specialty Chemicals,1516.2,7.37,38,THB
10494,Assets,,464.72,536.55,574.20,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10495,Liabilities,,70.30,126.19,196.01,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10496,Equity,,394.42,410.36,379.55,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10497,Paid-up Capital,,170.00,170.00,170.00,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10498,Revenue,,390.12,586.45,344.93,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10499,Net Profit,,21.34,31.24,-15.14,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10500,EPS (Baht),,0.08,0.09,-0.05,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10501,ROA(%),,7.84,8.10,-2.50,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10502,ROE(%),,7.59,7.76,-3.83,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10503,Net Profit Margin(%),,5.47,5.33,-4.39,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10504,Statistics as of,,29/12/2017,28/12/2018,30/12/2019,12/05/2020,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10505,Last Price(Baht),,1.93,1.20,0.69,0.49,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10506,Market Cap.,,656.20,408.00,234.60,166.60,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10507,F/S Period (As of date),,,30/09/2018,30/09/2019,31/12/2019,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10508,P/E,,17.08,17.91,,,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10509,P/BV,,-,1.01,0.62,0.44,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10510,Book Value per share (Baht),,N.A.,1.19,1.12,1.12,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10511,Dvd. Yield(%),,,,6.52,9.18,THMUI,Thai Mui Corp PCL Ordinary Shares,Industrials,Industrial Distribution,227.8,6.72,0.67,THB
10512,Assets,1420.71,1607.57,1877.30,2126.99,2203.24,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10513,Liabilities,273.81,287.07,308.74,349.10,359.20,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10514,Equity,1146.90,1320.49,1568.56,1777.89,1844.04,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10515,Paid-up Capital,180.00,180.00,180.00,180.00,180.00,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10516,Revenue,1915.87,1989.72,2164.27,2185.08,1143.89,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10517,Net Profit,282.04,290.59,356.06,317.52,165.15,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10518,EPS (Baht),1.57,1.61,1.98,1.76,0.92,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
10519,ROA(%),26.65,23.93,25.04,19.56,16.29,TNH,Thai Nakarin Hospital PCL,Healthcare,Medical Care Facilities,5850.0,1.69,32.5,THB
